rank,name,scores_overall,scores_teaching,scores_research,scores_citations,scores_industry_income,scores_international_outlook,stats_number_students,stats_student_staff_ratio
166,University of Virginia (Main campus),61.1,51.1,40.1,88.9,79.9,60.8,26,8.9
167,University of Cape Town,60.9,38.7,47,88.3,78.2,82.9,22,13.6
168,Université Catholique de Louvain,60.8,39.5,49.4,83.1,92,83.1,25,37.3
168,Eindhoven University of Technology,60.8,47.4,51.5,71.3,100,87.3,11,21.4
168,Harbin Institute of Technology,60.8,58.8,55.1,70.9,91.2,33.9,31,10.6
168,University of Liverpool,60.8,38.4,40.2,93.4,64.9,96.4,26,14.2
168,Newcastle University,60.8,37.2,41.1,93.8,72.1,91.3,26,14.8
168,Scuola Normale Superiore di Pisa,60.8,60.1,42.6,82.9,34.9,59.3,614,7.4
174,Durham University,60.6,43.5,44.5,83.5,65.6,95.8,20,14
175,Osaka University,60.4,62.5,65.7,50.5,100,51,22,10.4
175,University of Würzburg,60.4,40.3,43.4,90.8,99.6,63.2,24,38.3
177,Beijing Normal University,60.2,57.7,45.8,77.5,67.6,52.3,26,14.4
177,University of Exeter,60.2,33.5,42.5,95.7,52.2,95.5,27,16.6
177,University of Ottawa,60.2,39.6,46.5,84.4,80.2,86.9,38,27.2
180,Macquarie University,60.1,36.7,44.2,87.4,90.9,88.6,30,51.7
181,Sapienza University of Rome,60,53.5,48.1,77.9,85.4,46.5,61,22.2
182,Arizona State University (Tempe),59.9,40.9,46.2,87.5,71.5,71.7,49,19.7
183,University of Geneva,59.8,41.8,38,86.7,80.7,97.1,19,8.4
184,University of Twente,59.7,43.4,46,75.1,99.6,93.3,10,13.9
185,Stockholm University,59.6,32.1,49.6,91,59.2,81.2,30,20.3
185,Tongji University,59.6,50,53.6,69.5,85.4,67.7,32,11.3
187,Georgetown University,59.5,52.6,37,85.1,92.2,53.2,18,10.1
187,University of Mannheim,59.5,36.5,45.4,90.2,93.6,63.7,7,57.1
189,Chalmers University of Technology,59.4,42.7,46.6,79.4,97.1,74.1,10,15.4
190,Cardiff University,59.3,35.5,39.6,91.9,70.4,92.5,29,15
191,Tokyo Institute of Technology,59.2,59.5,63.3,49.4,100,60.1,10,9.6
191,Tufts University,59.2,51.5,35,87.5,71.7,62.8,12,10.5
193,University of Erlangen-Nuremberg,59,42.6,48.1,79.7,100,61,29,41.9
193,University of Macau,59,38.4,38.1,90.3,61.9,93.7,11,18.6
193,University of Münster,59,43.8,47.3,83.7,81.5,53.5,28,25.1
193,University of St Andrews,59,46,42.6,77.7,63.6,95.8,10,12.4
193,Ulm University,59,40.6,41.2,87.9,99.6,63,10,26.4
198,Indiana University,58.9,47.3,38.4,84.9,85.8,64.7,66,12.3
199,University of Notre Dame,58.7,51.9,42.6,76.1,72.9,69.9,13,10.9
199,Queensland University of Technology,58.7,33.9,42.1,89.5,85.9,82.2,35,37.9
199,Ulsan National Institute of Science and Technology (UNIST),58.7,47.7,40.8,85,94.6,46.5,4,11.8
